id,name,category,price,created_at
46,L'Oreal Paris Revitalift Serum,Health & Beauty,1299.00,2025-08-31 09:37:48.81131
47,Maybelline Fit Me Foundation,Health & Beauty,549.00,2025-08-31 09:37:48.81131
48,The Ordinary Niacinamide 10%,Health & Beauty,760.00,2025-08-31 09:37:48.81131
49,CeraVe Moisturizing Cream,Health & Beauty,1199.00,2025-08-31 09:37:48.81131
50,Neutrogena Ultra Sheer Sunblock,Health & Beauty,699.00,2025-08-31 09:37:48.81131
51,Adidas FIFA World Cup Ball,Sports & Fitness,2999.00,2025-08-31 09:37:48.81131
52,Nike Basketball Official Size,Sports & Fitness,1895.00,2025-08-31 09:37:48.81131
53,Yonex Badminton Racket Arcsaber,Sports & Fitness,4590.00,2025-08-31 09:37:48.81131
54,Decathlon Camping Tent 3-Person,Sports & Fitness,5999.00,2025-08-31 09:37:48.81131
55,The North Face Duffel Bag,Sports & Fitness,4590.00,2025-08-31 09:37:48.81131
56,Adidas Yoga Mat 6mm,Sports & Fitness,1499.00,2025-08-31 09:37:48.81131
57,Reebok Dumbbells 5kg Set,Sports & Fitness,2999.00,2025-08-31 09:37:48.81131
58,Gold's Gym Resistance Bands,Sports & Fitness,899.00,2025-08-31 09:37:48.81131
59,Garmin Forerunner 245 GPS Watch,Sports & Fitness,16990.00,2025-08-31 09:37:48.81131
60,Fitbit Charge 5 Fitness Tracker,Sports & Fitness,9990.00,2025-08-31 09:37:48.81131
61,Nestle Nescafe 3in1 Original 30s,Food & Beverages,189.00,2025-08-31 09:37:48.81131
62,Great Taste White Coffee 3in1,Food & Beverages,165.00,2025-08-31 09:37:48.81131
63,Lucky Me Pancit Canton Original,Food & Beverages,12.50,2025-08-31 09:37:48.81131
64,Silver Swan Soy Sauce 1L,Food & Beverages,89.00,2025-08-31 09:37:48.81131
65,UFC Banana Catsup 320g,Food & Beverages,45.00,2025-08-31 09:37:48.81131
66,Del Monte Sweet Style Spaghetti Sauce,Food & Beverages,52.00,2025-08-31 09:37:48.81131
67,Argentina Corned Beef 175g,Food & Beverages,35.00,2025-08-31 09:37:48.81131
68,Kraft Eden Cheese 440g,Food & Beverages,159.00,2025-08-31 09:37:48.81131
69,San Miguel Beer Pale Pilsen 330ml,Food & Beverages,55.00,2025-08-31 09:37:48.81131
70,C2 Green Tea Apple 500ml,Food & Beverages,35.00,2025-08-31 09:37:48.81131
